num_tx,satoshi_fee,time,block_size,hash
2366,44111281,1456308439,949215,000000000000000006905e0148f7e8ee952b79eba99ebef9b55fb2b0042a589d
901,17374793,1456308572,934510,0000000000000000020c841ded172ba98a359279061fb1d38af3b8c0057a3e6a
2920,54744902,1456310382,998127,0000000000000000067b8c7e04053ea516aadcbf9bd081043bf3127c096b583e
2763,47400480,1456311532,988011,0000000000000000055582b0cd4d451f5ee870a6b6a58571103de9d03b450f07
2166,34160451,1456311863,987898,00000000000000000664f687e765b258c88d8d1851045116971678efe78c39f2
1476,31139322,1456312294,999822,000000000000000002ac3870f8b88ada32cd4e1feb65acbfb5d847623f0443a4
3074,56826163,1456313970,999853,000000000000000002027b815553351423dca85ddeddb48cf6131731e820a63f
1688,24823345,1456314159,931815,000000000000000005426ad72a7a88e7626e6777c405aa9f52a963c1a23bf82b
844,18922077,1456314321,997049,0000000000000000022d9a276789d2ae743fda6dc6bc2263f32cd3ec1c1807ab
2754,51158294,1456315586,988048,000000000000000003e1f4c2c93ddbc2db401442ea8ca97bec05b4db9514691c
1121,18747612,1456315676,979183,00000000000000000330665028086b5937d2ef4b45e46269dd3ec3e57f8fe4a7
2176,36309267,1456316456,979136,000000000000000004ac782f124cec7338681580d7cec361b0d2fd64d8bb8228
978,17484117,1456316645,927600,000000000000000000c78e521efa20f41077e97e944345f558ee916c6bc714ac
957,22136970,1456316919,931757,000000000000000006542611284e15cea99326cc5e5b4693314b443205b6e413
1518,27095930,1456317289,934122,000000000000000003e95ade62e5eefd8004c23a5a649e93aa2896c4c8b568c3
1640,28216944,1456317730,999939,0000000000000000064eef8ae79e4135036d31e9d3bf4ac4236b756fe7cd4f61
1206,29061766,1456318059,998113,00000000000000000119b9d669140bd5527976175753fd229edca6607181c87f
287,8061805,1456318164,995184,000000000000000000fb84e31a00d85470113cd671a0c90aef92e07edd60f163
1239,24798983,1456318507,974106,0000000000000000048b3aed67f6b84aa87f15dfd2551fb53a433ddca007facc
471,10390696,1456318647,906543,0000000000000000069201272605c576cf70b2242ed06164cb42e6da48a262f2
552,10505840,1456318800,295824,00000000000000000427efd4e9ec9ad6295698ecdfa93bb28e6708c01f64d149
689,13601741,1456318976,662997,000000000000000001046d6ee637db37cbe9a338f9dfb13850f27ebdb878b023
1841,30979243,1456319550,749132,0000000000000000004ad9d943ab09f30528798fd5b29cf30be62bcba06cae5f
1,0,1456319608,266,000000000000000004d430e1daab776bc1c194589b0326924220faa00efc50cf
2811,51299042,1456320649,979064,0000000000000000002408b3e75f498c01e67e41ae8f0dccb7509c1fa1d4a3bd
2325,53736326,1456321449,997202,0000000000000000049b3923fc59a975f3517f4792c54bbcf8618e65794c8cd0
937,21838237,1456321627,784411,00000000000000000560fe03e77ef5a8d36286abb5582f7781879b72e456334a
2460,43916967,1456322423,997199,0000000000000000033553493608323f4d6d2de669f3ad316d75407975ea07b8
1973,34874905,1456322937,979074,000000000000000000e5b18c11cabe5e17dbcb0ab240c5397cd3ad2f756406e6
1909,35586724,1456323559,901780,000000000000000003590d416443e0007952bd0e1d8c8e863d68845eb3c6ebed
1671,23097196,1456323883,988053,000000000000000005ec3f655f2699edb6a8a12363b1fd73ce4f6fc258464802
1009,16812719,1456324074,995095,00000000000000000036e510d6260abeea00986e8edf05b990fd1e4dee96fb90
2625,68200941,1456325842,979059,000000000000000000b5a4d63173175d2750619241b6b2dc10765891ec677858
2620,55004488,1456327121,995153,0000000000000000052bda4cacd7a0dd223c9c6a98b143ae2b881a670a5d2639
2788,60509157,1456328272,934409,0000000000000000029654318c4ecd8dd3ceb1664d0adc7c76d51a0b8f3ac726
2303,39899595,1456328453,997129,0000000000000000007d5f6e8204a785c91d79927ff550513cdeb89f002e4ef4
2358,78054711,1456330727,999891,00000000000000000352b17ce99029b9049134a1bde09ef2a001cc4569b9123c
2279,70249520,1456332418,949046,000000000000000005746ce38ba9d192afe370878fd27052a89b2867915bf02e
2753,48247942,1456332878,997201,000000000000000003456b2f360a0e290d93c6a00cdb1cb70015450e2ed01817
2494,72890413,1456334166,999917,000000000000000000d338f945006d62adba99dbb399f524047787a54b93e110
1884,80455062,1456336759,979179,0000000000000000049aeeab9192d923771b01420380f532d101885159adb8a6
2533,38102389,1456337055,749153,0000000000000000062e18ab414bde3b5654c6fd0beab164e363fc0c7be583c9
1561,42102974,1456337668,749035,000000000000000005f27f03506c5e5b8f42bc26d7f0de3d872def8cac4f9cd4
2157,40039497,1456338385,998168,000000000000000002abcc971d10811e3c2a8125b7c7200f13a43ea2b0289343
2681,46345405,1456338900,987947,0000000000000000048588b7be366b31b916e768c455fd35d991e698980535a5
1258,67492074,1456341622,934487,00000000000000000534610f84a915cf0b62bf92f6c86b65ad279e9259e06cad
3049,44051597,1456341668,999825,000000000000000005f137f5034b6bebdb62454af451a56fa24f792737f624be
2176,45909874,1456342605,949220,0000000000000000055590a9f16ca3177f1c30a9f2f30c96e14f8b374a4bb10d
2680,43205364,1456343209,999645,000000000000000002ee51e2e7501d6a8604e2b25283e01ac47b4fde6d514992
2135,48722254,1456344193,979185,000000000000000003adfbef86ae8d910d55bdb333b3431c1ec46a47715452cc
1,0,1456344229,266,000000000000000003985457d7d6796448471ee490f048f935e645a33ac99c5c
2002,50710422,1456345547,949101,0000000000000000040bf90437157d56888daeff556bde2a4bf8f29fdf7d81cd
2332,31302727,1456345726,949208,0000000000000000027568fbd52174d4c24ea4fd3226630fc9d73321dc851a08
1373,24245869,1456345767,999877,0000000000000000015b6997970cabac59efc9e998a6b5fde125fdbe22916c0f
1867,42545771,1456346903,749071,0000000000000000003842eba01d9ffc5cbf290fccc7eea1f9f93383e0735e89
1406,134429181,1456347342,999892,0000000000000000049caa84e7433d3b521873475b83bfe761df536f41087854
1860,51833083,1456348433,998218,0000000000000000048d37e2e2ee7cc251a55c6db98f93d30d9514fccb1e05b2
1338,37294157,1456349130,949133,0000000000000000021fc549dac242aa8380fc0959ca085374cfaf4820af7838
1478,36635572,1456349889,999957,000000000000000002c5800be4108f0ed4f15be1d060169410392100059219fe
292,21817634,1456350023,979194,00000000000000000370a766f093a5f091438be0481a78c08e251a0dc16bf8d9
2182,53914685,1456351528,999982,0000000000000000057e182fdb5dc2f64e9c15e04fad7a8bcf8f828806ee144e
2644,61499407,1456353635,999965,0000000000000000010d39c9c022c3cdc62248daa315299957a5993ebb9ce5b3
2580,47569914,1456354895,979122,000000000000000001e870ae66cc599e7f4dc7554f6a90bdbb5a91cb415a8c81
1552,31825191,1456355300,998128,000000000000000006a553939f586b491f63d3158b3baee1fbdf06bd3c41becc
1637,34312483,1456356501,998128,0000000000000000003382c2a1cc5ff7535fa8820f8a4271b27961ad06f7898b
2240,35397713,1456356691,934113,0000000000000000040a1634cb04b7fc15fcbd497861f8c1e8ba2702aa0e5102
2046,40938899,1456357375,999860,00000000000000000461da51c23980b856a62548aadb9104e7d904aa0e3050ea
1580,28161750,1456357723,998076,00000000000000000692060eae20b9742cafa6a6f387bb283ad29028f57e7202
1324,28656958,1456358198,979180,000000000000000006a6dd69c52209c45a6feaec4491f788c040d9605bebf4a7
1848,51769068,1456359292,996065,0000000000000000047417efa0b3be41cba5a9327b4ca581c5eb638477274aa0
1672,42400437,1456359656,995063,000000000000000004e00939db4a11c5ae6d1c85e36d73039722a965f50fbf70
2441,49757689,1456360635,934177,0000000000000000053046b0f197842130ada9af6311a5dbdda079ce500dafac
1278,17802273,1456360688,997188,000000000000000005ba3166c53010dd2f001baaddee1b087f35e14d7dc9e2fa
1789,33124408,1456361168,932769,000000000000000004d22eed0363ec7c34a0d6203baecb73f2f221e36b7fcb04
1159,22978316,1456361405,934387,000000000000000000fd35f77a4de281c39b259ef7e5c1b740948720c74877fd
1485,29656925,1456361970,931815,0000000000000000042d43a2aeaa51b02ebe2d2c4abe285a280632900849f5a0
1337,26591692,1456362349,933890,00000000000000000690d528d96cc7a0e9e4edc183d04c5d052486e91bc06c56
807,19755899,1456362676,932245,000000000000000003863fc0e1f681ee116bc1969d83c6fd79b7236f461b3dc8
1213,27717141,1456363019,933972,000000000000000002327e752e9ebb2e25936753bb8e1a9beb6424d7f6d2ba56
1080,22835851,1456363255,995112,00000000000000000503761c8d2eb0bd1793fa838b63173fde07a01e19faa7a5
2592,47793224,1456364240,998118,000000000000000006289baa6ae22aec9cd0ba3daeecdcc9c560b91e2ce83844
2545,51287356,1456365682,979162,00000000000000000312d47b826d5da1b4433047d58a7f5664d23a8bf679f7c8
1437,68154160,1456366949,749045,0000000000000000013908bd7701e6d3c0cc84e108425b2b2bb3601d55fa7d88
2666,47052181,1456367427,934351,00000000000000000568ac586619e175ff71f8928ae082ed80e89ae5419aa879
1628,28964653,1456367511,999490,0000000000000000061950d893dbe7a0988303611991540f4eceea1b187cac46
2424,54799474,1456368752,934455,00000000000000000536216bf2a0042dd52c8abd827b4a977c8c13255b4a5150
2380,41256510,1456369509,929271,000000000000000004a9de9ebca502987ffd5068c390ecc1ceb5f20373e2c841
2510,49339682,1456370664,999947,0000000000000000055a8d660c231dc279ad443f9b9b4c0ce7871ca76fc2a26a
2135,40879785,1456371647,999890,0000000000000000045c976c3bf82c2799c71e6ea68906421d21919aec653ba1
1,0,1456371694,229,0000000000000000004b4641818e1a05201a590172e96827e331810e6f7ef285
668,10202827,1456371839,994228,000000000000000001293c1a8c0496976d5df54e880cbf2137696e0f0f289f3b
1602,34287991,1456372181,931317,000000000000000005d165e5f2f5e1755c5beacdb577516badddb70f735d8abf
1093,24941480,1456372597,949164,00000000000000000142fdbfe3fd0b56532821da3cd9fc08fabc064739c3dc80
1919,40691805,1456373269,999715,00000000000000000509095cf2fe27c543fd91dfdc218774021e1d13f6dfad69
1176,21503769,1456373601,998005,000000000000000003681d2fc5b837e609a55e4e30a048da77369302b0e13bf7
1873,37128772,1456374292,988107,0000000000000000049a55e6a4b9d4c053de37adf8bcd0e398ef7a7c1775845c
891,15460028,1456374357,979122,00000000000000000176991af9ccbdc015684eaab555fd6d907fcd03f0f760ee
914,16094698,1456374600,749088,00000000000000000212fccff88eaf6d69705fb179dafd802e0edabff1fa0a4c
2079,42397668,1456375431,998175,000000000000000002d5ce6c11c332d93f1b2a6d7309d4a5cc6b35192c05eb7f
1331,30166860,1456375923,924364,000000000000000005f31717ee8fec94a488c6990b7e7b7a8b2ba572c73695a8
867,13060656,1456376010,922615,00000000000000000478111af18be1ded27da465c3e9ad75846b146275b9782d
532,11295815,1456376119,888226,0000000000000000037a56bc7f9c9d9cb7eb7c9a577443906eb081f9f680e69f
1488,29162071,1456376613,999881,0000000000000000067d8c854540137fb0e99fb8c072fe0a21e107609bc7118c
1125,24146420,1456377085,999944,00000000000000000436f0fa79aae9a767589b6b0d849597fe856d142f53fac1
593,13027114,1456377303,866820,000000000000000000bbb12d2bfad35a19c0a1f093300697c77b28e6fcf35518
2697,55472456,1456379150,934218,0000000000000000026916d0b1b1a51c2fb1377cd8807def922634faad27e664
1453,26998487,1456379361,998186,00000000000000000058bd8cb8d1031b526b7b6a28fb68061554673e935c096f
1988,39964727,1456380272,934382,000000000000000003cfa3c615c97bd9f072743ed706f4312550f3722b6c11f9
762,16503773,1456380500,669939,000000000000000006a3ded84a4f69529885cbba9c0aabb4c0dda46d253435f3
619,15150970,1456380760,998148,000000000000000000adb2382b00ca648585706f448de189655fbe1445994a6b
2326,41855527,1456381857,999987,000000000000000000dc0beb53744b74654fb86ee7d4f4543883de716a2b5424
1961,37669625,1456382704,998146,000000000000000004ba7997adae506d5b8a446d14105243de621582498f51c0
1222,23048198,1456383201,733845,000000000000000000ee94814b13e0fb30de76e7e07aa7a7b5e1f552c5ab1271
834,14586228,1456383492,998075,000000000000000002f4b2a3288a783bb31f8bd41044f778f62c599d521f3a90
891,13997502,1456383716,998106,0000000000000000037456d6add97d74ad9d6da96fb8e5f1bf16090f341dc333
997,19846672,1456384108,998185,00000000000000000369e190d76b64be4aec3409a347daf43f218c564c9ddfb9
781,15889898,1456384491,501992,000000000000000004b55c1b061617043969af5098cd758319f8cdf896caa1d5
772,13280665,1456384860,365867,000000000000000000ead353509c31760b24ef87fab7d2fa25d99b21814cf1f3
1225,22353381,1456385360,637626,00000000000000000136a161e7dc8f086379a968a7f714b4aaa4ff8d496f7c78
40,1052026,1456385363,19155,000000000000000004076cf9495f0f5c2d92fb51fdb57016ec63e11482a66c94
628,14165098,1456385645,374532,00000000000000000522a2fb200f461c992de7420c6e55b49ed246e5545f6cdc
1216,24173618,1456386177,621264,000000000000000002282ba696da7dd2c5fe5e888978038b182b4f3cb0be5afb
2,0,1456386317,418,000000000000000001f9b39970e3f99616dfc4610ef7d3d7535d84c40248beaa
1321,24246666,1456386964,611415,0000000000000000050b67ddc08b4c14a94c094abde2e0a1079fc62d55fabddc
2255,46032867,1456388127,999862,000000000000000001ddef41a4f4cc90d8a4cd190d2c190179fa294dbf975f8f
967,20401789,1456388511,526752,00000000000000000653d4bc5fcdba28d938e4fbfd50eb7e50eebddf24695b7e
2523,73878935,1456390671,979039,000000000000000002be4d6e740fa56cb6a00be18e7d8319c618b80f6fff22ec
2217,36087866,1456391147,934357,0000000000000000011e07340b11a4f30be06317719605bd0e51a0b8d4d8c3f7
2010,40003502,1456392056,999817,000000000000000005a763633c696c83ab5de8eab0c5f5f0212250d084fe1640
1773,32993865,1456392724,999959,00000000000000000259e33a972c327836cc6b0b96230dd70e44d0d68cd6403f
1324,34077740,1456393177,999989,00000000000000000198e8e1f0c26de57899886a460c54110e39bcfaea6f8b16
3013,56215344,1456395000,998185,0000000000000000020c209e7c08aaad6fc7d8878bfab6b2084f2551ddb0d7b4
34,1808006,1456395039,56937,00000000000000000301fef8a8967d9d7c766ababc9fe13dc0b44195a5e936e8
1489,22703534,1456395165,998589,000000000000000000c42b09fe9da02d806c347b25909c8cefe186feb0bea64a
1290,28024402,1456395582,934231,000000000000000000648026399e8dbc726a5774ff133f96cbcac6c9a4ab0460
2276,62920236,1456397906,934470,0000000000000000050091418da6314e806c0592077d89356f378e1a9c7c92d7
2503,50417818,1456398778,979101,000000000000000002b8c265cbb6d26a0b14da1c4fa4feca2b6e29ffd45420bd
1949,26684103,1456398849,998161,000000000000000005e8ae70f82b793f1f814e147813b147ffac808755c62c22
1102,22615814,1456399074,978677,00000000000000000238510da1e9038a693f5ab503404a39dd9439ed95613692
2,0,1456399105,418,00000000000000000287b0bab50e1522207204de6dca6c2adb38025f16cf16a4
1061,26623074,1456399440,785610,000000000000000002cef46bbf24c646eb72867eceedee7f61c3c838b00c97dc
107,1616988,1456399469,58046,000000000000000004daf0b09de1fde904d4fc3a766b7a93e99926a6255f48b4
314,7028528,1456399581,169638,0000000000000000030c54f7c6499726a2565afe4ae733ab8bb43855abf0e2a8
1110,21737139,1456399936,939609,00000000000000000097e4e83835c5e73a707e6e576caded6946d14a43789698
2004,49051002,1456400730,979039,000000000000000002a79a95cb67e9f38935b7fb25c07e10723f36b65f1a78c2
1477,28953666,1456401287,754057,00000000000000000064c5bbc353b91ee381d2a77fc5783a51cf9111e4839636
1223,25355883,1456401654,784087,0000000000000000012ef475130018d8497f633cedc525f34ee5b31919535b51
232,4484567,1456401729,143102,000000000000000005a495ea4bad1724e2776a28763371ea6b6cee8a0ccceafa
614,14435888,1456401935,338322,000000000000000003048413ad55c33fc2faf9a6e84ebf193ace349a9dcbd55b
1110,21178393,1456402325,481814,000000000000000002aca97e6a17aa186921eb15d2acf114ae13ba5a96f1eebe
711,7697748,1456402408,987717,0000000000000000064b49acb265c454c503e2ce1459c9cf6023d1019ced9d1e
2513,44248770,1456403395,999559,000000000000000004dae801cab684866210a8fa767c592b448b704cd8e9b80d
